-----------------------D----D-D---D-------------------;1
------------------------------D-D-D------D------------;1
----------------------------D---D-D---------------D---;1
--------------D-------------D-D-D---------------------;1
-----D----------------------D-D---D-------------------;1
-------D----------------------D-D-D-------------------;1
---D------------------------D---D-D-------------------;1
-D--------------------------D-D-D---------------------;1
----------------------------D-D---D-------------D-----;1
------------D-----------------D-D-D-------------------;1
---------------------D------D---D-D-------------------;1
----------------------------D-D-D------D--------------;1
-------------------------D----D---D------D------------;2
-----------------------D----D-D-D---------------------;2
-----------------------D----D-----D---------------D---;2
--------------D--------D----D-D-----------------------;2
-------D-------------D--------D---D-------------------;2
-----------------------D----D---D-D-------------------;2
---D-------------------D----D-----D-------------------;2
-D---------------------D----D-D-----------------------;2
----------------------------D-D-D-D-------------------;2
------------D------D----------D---D-------------------;2
-----------------------D------D-D-D-------------------;2
---------------------D-D----D-----D-------------------;2
-----------------------D----D-D--------D--------------;2
-----------------------D------D---D------D------------;2
----------------------------D-D---D------D------------;2
--------------------------------D-D--------D------D---;2
--------------D---------------D-D--------D------------;2
-----D------------------------D---D------D------------;2
----------------------------D-D-D--------D------------;2
---D----------------------------D-D----D--------------;2
-D----------------------------D-D--------D------------;2
------------------------------D---D------D------D-----;2
----------------------------D---D-D------D------------;2
---------------------D----------D-D--D----------------;2
------------------------------D-D------D-D------------;2
--------------------------------D-D------D--------D---;2
------------------------------D-D-D---------------D---;2
--------------D-------------D---D-------------------D-;2
-----D----------------------D-----D---------------D---;2
-------D------------------------D-D---------------D---;2
----------------------------D-D---D---------------D---;2
-D--------------------------D---D---------------D-----;2
----------------------------D-----D-------------D-D---;2
------------D-------------------D-D---------------D---;2
----------------------------D-D-D-----------------D---;2
----------------------------D---D------D------D-------;2
----------------D------D----D-D-----------------------;2
--------------D-------------D---D-D-------------------;2
--------------D-------------D---D-----------------D---;2
-----D------D---------------D-D-----------------------;2
-------D------D---------------D-D---------------------;2
--------------D---------------D-D-D-------------------;2
---D----------D-------------D---D---------------------;2
----------D-----------------D-D-----------------D-----;2
------------D-D---------------D-D---------------------;2
--------------D-------------D-D---D-------------------;2
--------------D------D------D---D---------------------;2
-------D--------------------D-D---D-------------------;2
-----D----------------------D-D-D---------------------;2
-----D--------D-------------D-D-----------------------;2
---D------------------------D-D---D-------------------;2
-----D-D----------------------D---D-------------------;2
-----D----------------------D---D-D-------------------;2
---D-D----------------------D-----D-------------------;2
-D---D----------------------D-D-----------------------;2
-D--------------------------D-D---D-------------------;2
-----D------D-----------------D---D-------------------;2
-----D------------------------D-D-D-------------------;2
-----D---------------D------D-----D-------------------;2
-----D----------------------D-D--------D--------------;2
---D--------------------------D-D-D-------------------;2
-------D---------------D------D---D-------------------;2
-D----------------------------D-D-D-------------------;2
-------D--------------------D-D-D---------------------;2
---D---D------------------------D-D-------------------;2
-D-----D----------------------D-D---------------------;2
-------D----------------------D---D-------------D-----;2
-------D--------------------D---D-D-------------------;2
-------D-------------D----------D-D-------------------;2
-------D----------------------D-D------D--------------;2
-D--------------------------D---D-D-------------------;2
---D----------------------------D-D------D------------;2
-D-D------------------------D---D---------------------;2
---D------------------------D-----D-------------D-----;2
---D--------D-------------------D-D-------------------;2
---D------------------------D-D-D---------------------;2
---D------------------------D---D------D--------------;2
-D--------------------------D---D-----------------D---;2
-D--------------------------D-D-----------------D-----;2
-D----------D-----------------D-D---------------------;2
-D-------------------D------D---D---------------------;2
----------------------------D-D-D---------------D-----;2
--------------D-------------D-D---------------D-------;2
----------------------------D---D-D-------------D-----;2
-D--------------------------D-D-------------------D---;2
------------D-----------------D---D-------------D-----;2
------------------------------D-D-D-------------D-----;2
---------------------D------D-----D-------------D-----;2
----------------------------D-D--------D------------D-;2
----------D------------D------D---D-------------------;2
------------D---------------D-D---D-------------------;2
-----D--------D---------------D---D-------------------;2
------------D---------------D-D-D---------------------;2
----------------D-------------D---D-------------D-----;2
------------D---------------D---D-D-------------------;2
------------D--------D----------D-D-------------------;2
------------D-----------------D-D------D--------------;2
-------------------D------------D-D------D------------;2
---------------------D--------D-D-D-------------------;2
-------D---------------D--------D-D-------------------;2
---------------------D------D-D---D-------------------;2
------------D------------D------D-D-------------------;2
---------------------D------D-D-D---------------------;2
---------------------D------D---D------D--------------;2
----------------------------D---D-D----D--------------;2
----------------------------D---D----D------------D---;2
------------------------------D-D-D----D--------------;2
---D------------------------D---D--------D------------;2
----------------------------D-D--------D--------D-----;2
----------------------------D-D---D----D--------------;2
---------------------D------D---D----------D----------;2
----------------D-----------D-D----------D------------;3
-------------------------D--------D--------D------D---;3
--------------D----------D----D----------D------------;3
----------------------------D---D--------D----------D-;3
---D---------------------D--------D----D--------------;3
